id,apple,samsung,amazon,others,model,screensize,storage,isnight,returnsaccepted,returnsdays,sellerfeedbackscore,bids,price,ram,resolution,selleritemssold,ispolice,sellerlifepercent,selleryearpercent,isused,isbroken,deliveryspeed,startingprice,issold,bidcount,ruletriggered,nobid,residual
115618968132,1,0,0,0,ipad pro 6,12.9,128,0,0,-1,18,3.5557373,3.5557373,-1,-1,1,0,100,100,0,0,2,3.2202904,1,3,0,2,1.2793047
115618968132,1,0,0,0,ipad pro 6,12.9,128,0,0,-1,18,3.3544691,3.5557373,-1,-1,1,0,100,100,0,0,2,3.2202904,1,3,0,3,1.0780365
115619164072,1,0,0,0,ipad air 4,10.9,256,1,0,-1,295,1.5747555,1.5747555,-1,-1,244,0,100,100,1,0,2,1.0380405,1,5,1,1,.44827843
115619164072,1,0,0,0,ipad air 4,10.9,256,1,0,-1,295,1.5412109,1.5747555,-1,-1,244,0,100,100,1,0,2,1.0380405,1,5,1,2,.41473377
115619164072,1,0,0,0,ipad air 4,10.9,256,1,0,-1,295,1.4405768,1.5747555,-1,-1,244,0,100,100,1,0,2,1.0380405,1,5,1,3,.31409967
115619164072,1,0,0,0,ipad air 4,10.9,256,1,0,-1,295,1.407032,1.5747555,-1,-1,244,0,100,100,1,0,2,1.0380405,1,5,1,4,.28055489
115619164072,1,0,0,0,ipad air 4,10.9,256,1,0,-1,295,1.1219022,1.5747555,-1,-1,244,0,100,100,1,0,2,1.0380405,1,5,1,5,-.0045748949
115620413756,0,1,0,0,galaxy tab s2,8,32,1,0,-1,499,1.2343471,1.2343471,,,163,0,100,100,1,0,0,.52221572,1,11,1,1,.61812901
115620413756,0,1,0,0,galaxy tab s2,8,32,1,0,-1,499,1.2134081,1.2343471,,,163,0,100,100,1,0,0,.52221572,1,11,1,2,.59719002
115620413756,0,1,0,0,galaxy tab s2,8,32,1,0,-1,499,1.1508009,1.2343471,,,163,0,100,100,1,0,0,.52221572,1,11,1,3,.53458285
