id,apple,samsung,amazon,others,model,screenSize,storage,isNight,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold,endTime,bidCount
364144758793,1,0,0,0,ipad mini 1,7.9,12,1,0,-1,510.0,"[28.35, 28.35, 11.35, 8.35]",28.35,,,249,0,100.0,100.0,1,0,0.0,8.35,1,2023-02-19 18:15:28+00:00,4
165917069402,1,0,0,0,ipad mini 1,7.9,12,1,1,30,21205.088118092433,"[46.2, 45.2, 36.2, 15.2, 13.2, 10.2, 9.2, 5.2]",46.2,,,46000,1,100.0,100.0,1,0,0.0,4.19,1,2023-02-12 20:07:01+00:00,8
404105206173,1,0,0,0,ipad mini 5,7.9,256,0,0,-1,217.0,"[296.15, 296.15, 210.0, 191.15, 111.15]",296.15,,,58,0,100.0,100.0,1,0,2.0,12.15,1,2023-01-14 12:28:47+00:00,5
195549665238,1,0,0,0,ipad mini 1,7.9,16,0,0,-1,807.0,"[52.67, 52.67, 37.67, 17.67, 8.67, 6.67, 5.67]",52.67,,,357,0,100.0,100.0,1,0,0.0,3.66,1,2023-01-15 11:10:54+00:00,7
404106978408,1,0,0,0,ipad mini 5,7.9,256,0,0,-1,217.0,[270.15],270.15,,,58,0,100.0,100.0,1,0,2.0,270.15,1,2023-01-15 12:42:14+00:00,1
334702054151,1,0,0,0,ipad mini 6,8.3,64,1,0,-1,1301.0,"[405.65, 395.65, 385.65, 375.65, 365.65, 335.65, 315.65, 305.65, 260.65, 231.2]",405.65,,,1500,0,100.0,97.0,1,0,2.0,104.65,1,2023-01-20 20:06:20+00:00,10
195535590994,1,0,0,0,ipad mini 1,7.9,16,0,0,-1,807.0,"[33.67, 32.67, 17.67, 7.67, 5.67, 4.67, 3.66]",33.67,,,357,0,100.0,100.0,1,0,0.0,3.66,1,2023-01-04 11:06:15+00:00,7
255931441666,1,0,0,0,ipad mini 6,8.3,64,1,0,-1,101.0,"[381.0, 371.0, 351.0, 331.0, 311.0, 270.0, 255.0, 237.0]",381.0,,,76,0,100.0,100.0,1,0,2.0,232.0,1,2023-01-21 20:05:22+00:00,8
385306698533,1,0,0,0,ipad mini 6,8.3,256,1,1,14,13186.503393365118,"[453.0, 443.0, 415.99, 385.99, 340.99, 307.99, 268.99, 258.99, 247.99, 243.99, 188.99, 187.99, 157.99]",453.0,,,35000,0,99.8,99.0,1,0,1.0,156.99,1,2022-12-26 20:30:01+00:00,13
185740268432,1,0,0,0,ipad mini 6,8.3,256,1,0,-1,1202.0,"[631.25, 611.25, 491.25, 486.25, 411.25, 285.25, 275.25, 266.25, 245.0, 236.25, 91.25, 16.25, 12.25]",631.25,,,968,0,100.0,100.0,1,0,2.0,12.25,1,2023-01-19 17:31:12+00:00,13
255927658871,1,0,0,0,ipad mini 5,7.9,256,0,0,-1,101.0,"[270.0, 265.0, 250.01, 220.0, 205.0, 200.0, 160.0, 139.0, 132.0, 130.0, 126.0]",270.0,,,76,0,100.0,100.0,1,0,2.0,122.0,1,2023-01-22 13:00:01+00:00,11
255862279518,1,0,0,0,ipad mini 5,7.9,64,1,0,-1,101.0,"[242.0, 240.0, 220.0, 216.0, 155.0, 130.0, 122.0]",242.0,,,76,0,100.0,100.0,1,0,2.0,122.0,1,2022-12-09 22:34:47+00:00,7
275684309887,1,0,0,0,ipad mini 6,8.3,64,1,0,-1,560.0,"[264.0, 259.0, 239.95, 239.95, 229.72, 218.95, 168.95, 34.95]",264.0,,,219,0,100.0,100.0,1,0,2.0,9.94,1,2023-02-19 20:41:01+00:00,8
