id,brand,model,screenSize,storage,postage,endTime,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold
165804927903,amazon,kindle fire 7,7.0,8,0,"08 Dec, 2022 20:12:01 GMT",1,30,-1,"[10.33, 10.0, 8.67, 7.33, 5.0, 4.33, 4.0, 3.67, 1.67, 0.33]",10.33,-1.0,-1,45000,1,99.9,100.0,1,0,0,0.33,1
394371853780,amazon,kindle fire 7,7.0,32,6.92,"12 Dec, 2022 22:37:46 GMT",0,-1,0,[53.0],53.0,-1.0,-1,4,0,0.0,0.0,0,0,2,53.0,1
225302534375,amazon,kindle fire 7,7.0,16,0,"17 Dec, 2022 11:01:15 GMT",0,-1,237,"[23.5, 22.5, 22.0]",23.5,0.5,-1,132,0,100.0,100.0,1,0,0,10.0,1
225295354354,amazon,kindle fire 7,7.0,16,0,"13 Dec, 2022 13:57:13 GMT",0,-1,237,"[31.0, 30.35, 12.0, 10.0]",31.0,0.5,-1,132,0,100.0,100.0,1,0,0,10.0,1
175532653225,amazon,kindle fire 7,7.0,16,3.59,"14 Dec, 2022 20:50:56 GMT",0,-1,2753,"[9.5, 9.0, 9.0, 7.0]",9.5,-1.0,-1,2500,0,100.0,100.0,1,0,1,5.0,1
144848795660,amazon,kindle fire 7,7.0,16,6.92,"17 Dec, 2022 08:23:39 GMT",0,-1,74,"[32.79, 31.79, 27.0, 25.0]",32.79,0.5,-1,69,0,0.0,0.0,1,0,2,22.6,1
125667318619,amazon,kindle fire kids 7,7.0,16,4.00,"17 Dec, 2022 16:47:11 GMT",0,-1,301,"[31.0, 30.0, 22.0]",31.0,-1.0,-1,234,0,100.0,100.0,1,0,0,19.0,1
334660330898,amazon,kindle fire kids 7,7.0,16,3.85,"13 Dec, 2022 08:54:49 GMT",0,-1,546,"[43.58, 42.58, 36.0, 27.0, 21.0, 16.0, 15.0, 14.0, 10.0, 9.0, 9.0, 6.15, 2.0]",43.58,1.0,1024x600,312,0,100.0,100.0,1,0,1,0.99,1
175528455175,amazon,kindle fire 7,7.0,16,4.99,"14 Dec, 2022 12:29:00 GMT",0,-1,25,"[57.0, 56.0, 53.0]",57.0,2.0,-1,63,0,100.0,100.0,0,0,1,29.99,1
234812569423,amazon,kindle fire hd,7.0,16,3.93,"13 Dec, 2022 15:59:00 GMT",0,-1,682,"[11.99, 11.49]",11.99,-1.0,-1,834,0,100.0,100.0,1,0,2,9.99,1
